tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
10,2,What is the purpose of the `<blockquote>` tag in HTML?,To define a block of text that is a quotation,To create a link,To define a comment,To style text,To define a block of text that is a quotation
10,2,How can you include an external CSS file in HTML?,<link rel='stylesheet' href=''>,<style>...</style>,<css src=''>,<stylesheet>,<link rel='stylesheet' href=''>
10,2,What is the correct way to create a responsive image in HTML?,<img src='image.jpg' style='max-width:100%; height:auto;'>,<img responsive='true'>,<image src=''>,<img src='image.jpg' height='100%'>,<img src='image.jpg' style='max-width:100%; height:auto;'>
10,2,Which tag is used to define an HTML document's character encoding?,<meta charset='UTF-8'>,<charset='UTF-8'>,<meta encoding='UTF-8'>,<meta> charset=<UTF-8>,<meta charset='UTF-8'>
10,2,What does the `alt` attribute do for an image tag?,Provides alternative text for the image,Defines the image size,Sets the image source,Links to another page,Provides alternative text for the image
10,2,How can you specify a specific language for an HTML document?,<html lang='en'>,<html language='en'>,<lang='en'>,<html code='en'>,<html lang='en'>
10,2,What does the `<nav>` tag represent in HTML?,A navigation section,An image,Text formatting,A link,A navigation section
10,2,How do you define an inline style in an HTML element?,style='color:red;',<style>color:red;</style>,<css>color:red;</css>,style='text:red;',style='color:red;'
10,2,Which HTML element is used to define the metadata of an HTML document?,<meta>,<data>,<info>,<head>,<meta>
10,2,What does the `<head>` section of an HTML document contain?,Metadata and links to scripts and styles,Content to display,Images,Navigation,Metadata and links to scripts and styles
10,2,How do you specify that an input field is required in a form?,<input required>,<input is-required>,<input necessary>,<input must-have>,<input required>
10,2,What is the correct way to create a drop-down list in HTML?,<select><option></option></select>,<dropdown></dropdown>,<list></list>,<options></options>,<select><option></option></select>
10,2,Which attribute is used to define the target of a link?,target,href,link,destination,target
10,2,What does the `<title>` tag define in an HTML document?,The title of the webpage,The header of the page,The main content,The footer,The title of the webpage
10,2,How do you include a JavaScript file in HTML?,<script src=''>,<js src=''>,<javascript>...</javascript>,<code src=''>,<script src=''>
10,2,What is the purpose of the `<footer>` tag in HTML?,To define a footer for a document or section,To create links,To define a comment,To style text,To define a footer for a document or section
10,2,How do you create an HTML table?,Using the `<table>` tag,Using the `<list>` tag,Using the `<grid>` tag,Using the `<data>` tag,Using the `<table>` tag
10,2,Which tag is used to create a hyperlink in HTML?,<a>,<link>,<href>,<url>,<a>
10,2,What is the correct syntax for creating a checkbox in HTML?,<input type='checkbox'>,<checkbox>,<input check=''>,<check>,<input type='checkbox'>
10,2,How do you create a multi-line text input in HTML?,<textarea>,<input>,<field>,<text>,<textarea>
10,2,What does the `<section>` tag define in HTML?,A thematic grouping of content,An image,Text formatting,A link,A thematic grouping of content
10,2,How can you specify the size of an image in HTML?,width and height attributes,style='size: ',size attributes,dimensions,width and height attributes
10,2,What does the `<time>` tag represent in HTML?,A specific time or date,An input field,An image,Text formatting,A specific time or date
10,2,How do you create a hidden input field in HTML?,<input type='hidden'>,<input type='invisible'>,<input hidden=''>,<input type='secret'>,<input type='hidden'>
10,2,What is the purpose of the `<label>` tag in HTML?,To define a label for an input element,To create links,To define a comment,To style text,To define a label for an input element
