tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
11,1,What CSS property is used to set the transparency of an element?,opacity,transparency,visibility,alpha,opacity
11,1,Which CSS function is used to rotate an element?,rotate(),transform(),skew(),rotate-deg(),rotate()
11,1,What is the default value of the flex-wrap property?,nowrap,wrap,reverse,none,nowrap
11,1,Which CSS property is used to change the cursor when hovering over an element?,cursor,pointer,hover,action,cursor
11,1,What property would you use to create space between the content of an element and its border?,padding,margin,spacing,border-spacing,padding
11,1,Which CSS property defines a shadow on text?,text-shadow,box-shadow,font-shadow,shadow,text-shadow
11,1,What CSS property is used to set the behavior of an element's content if it overflows its box?,overflow,scroll,display,content-wrap,overflow
11,1,Which property specifies whether a background image should scroll with the content or be fixed?,background-attachment,background-scroll,scroll-position,background-fixed,background-attachment
11,1,What value of the position property is used to make an element relative to its containing block?,relative,absolute,static,fixed,relative
11,1,How do you prevent an element from being resized by the user?,resize:none,resize:disabled,overflow:hidden,no-resize,resize:none
11,1,Which CSS property is used to set the spacing between lines of text?,line-height,word-spacing,letter-spacing,text-spacing,line-height
11,1,How do you create rounded corners for an element?,border-radius,corner-radius,border-style,border-round,border-radius
11,1,What is the default display value for an inline element?,inline,block,inline-block,flex,inline
11,1,Which CSS property controls the amount of space inside an element's border?,padding,margin,border-spacing,content-gap,padding
11,1,How do you set the vertical alignment of text inside an element?,vertical-align,text-align,align-content,text-position,vertical-align
11,1,Which property is used to stack elements above or below each other?,z-index,stacking-order,layer-order,stack-level,z-index
11,1,What value of the overflow property will hide any content that exceeds an element's box?,hidden,scroll,visible,auto,hidden
11,1,Which property is used to control the spacing between characters in text?,letter-spacing,word-spacing,line-height,character-spacing,letter-spacing
11,1,What is the default value of the display property for inline elements?,inline,block,inline-block,flex,inline
11,1,How do you apply a linear gradient as a background image?,background:linear-gradient(),background-image:linear(),background-gradient,gradient(),background:linear-gradient()
11,1,Which CSS property is used to set the minimum width of an element?,min-width,width,min-height,element-width,min-width
11,1,How do you make text underline in CSS?,text-decoration:underline,font-decoration:underline,text-style:underline,underline:text,text-decoration:underline
11,1,Which property is used to make an element invisible but still take up space?,visibility:hidden,display:none,opacity:0,invisible:hidden,visibility:hidden
11,1,What CSS property is used to align flex items along the main axis?,justify-content,align-items,flex-direction,flex-align,justify-content
11,1,Which value of the display property hides an element completely from the page layout?,none,hidden,block:none,invisible:none,none
11,1,How do you specify that an element is not visible but still maintains its layout?,visibility:hidden,display:none,opacity:hidden,overflow:hidden,visibility:hidden
11,1,Which property is used to add shadow around an element's box?,box-shadow,shadow,drop-shadow,outline-shadow,box-shadow
11,1,What property is used to specify the maximum width of an element?,max-width,width,min-width,flex-width,max-width
11,1,How do you specify a CSS rule that applies only to screen devices?,@media screen,screen-only,@screen,@viewport,@media screen
11,1,Which property is used to control the layout direction in flexbox?,flex-direction,align-items,justify-content,direction:flex,flex-direction
11,1,What property is used to control the space between flexbox items?,gap,spacing,item-space,row-gap,gap
11,1,Which CSS property specifies whether an element is resizable by the user?,resize,overflow,content-resize,element-resize,resize
11,1,What is the purpose of the z-index property?,controls stacking order,sets element size,defines background color,changes element position,controls stacking order
11,1,How can you hide an element but still allow it to occupy space?,visibility:hidden,display:none,opacity:hidden,invisible:hidden,visibility:hidden
11,1,Which CSS property controls the size of an element's margin?,margin,margins,spacing,padding-margin,margin
11,1,Which property is used to position an element relative to the viewport?,fixed,relative,absolute,sticky,fixed
11,1,Which value of the overflow property adds scrollbars when necessary?,auto,scroll,hidden,visible,auto
11,1,What property is used to change the text color in CSS?,color,text-color,foreground-color,background-color,color
11,1,Which value of the position property positions an element based on the scrolling of its container?,sticky,fixed,absolute,scroll:relative,sticky
