tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
9,1,What is Express.js?,A database management system,A front-end library,A web application framework for Node.js,A CSS framework,A web application framework for Node.js
9,1,Which command is used to install Express.js?,npm install -g express,npm install express -g,npm install express,npm start express,npm install express
9,1,What is the main purpose of Express.js?,Managing databases,Creating real-time applications,Building web applications and APIs,Designing front-end components,Building web applications and APIs
9,1,Which of the following is true about Express.js?,It is a front-end library,It is used for managing state,It simplifies routing and handling requests,It is only for database management,It simplifies routing and handling requests
9,1,How do you start an Express.js server?,app.get(),app.listen(),app.use(),app.post(),app.listen()
9,1,Which method is used to handle POST requests in Express.js?,app.send(),app.use(),app.post(),app.listen(),app.post()
9,1,What is the default port number for an Express.js application?,80,3000,5000,8080,3000
9,1,How do you define a route in Express.js?,app.use('/path', callback),app.route('/path', callback),app.get('/path', callback),app.connect('/path', callback),app.get('/path', callback)
9,1,Which middleware is commonly used to parse incoming JSON requests in Express.js?,express.router(),express.json(),express.urlencoded(),express.static(),express.json()
9,1,What does middleware in Express.js do?,Handles database queries,Handles static files,Intercepts and processes requests before they reach the route handler,Creates APIs,Intercepts and processes requests before they reach the route handler
9,1,How do you serve static files in Express.js?,app.static(),app.serve(),express.static(),app.getStatic(),express.static()
9,1,How can you handle errors globally in Express.js?,Using a specific route,Using a try-catch block,Using a custom error handler middleware,Using express.json(),Using a custom error handler middleware
9,1,What function is used to send a response in Express.js?,sendRequest(),response.end(),res.send(),res.start(),res.send()
9,1,Which of the following is NOT a middleware in Express.js?,express.json(),express.static(),express.urlencoded(),express.create(),express.create()
9,1,Which method is used to handle GET requests in Express.js?,app.get(),app.send(),app.post(),app.use(),app.get()
9,1,What does app.use() do in Express.js?,It defines a route,It mounts middleware,It handles errors,It listens to a port,It mounts middleware
9,1,How do you install a specific version of Express.js?,npm install express@latest,npm install express@version,npm install express --update,npm install express --version 4.19.1,npm install express@version
9,1,How do you create a new instance of an Express application?,var app = express(),var app = new express(),var app = express.Application(),var app = express.Router(),var app = express()
9,1,Which method is used to route DELETE requests in Express.js?,app.remove(),app.delete(),app.destroy(),app.use(),app.delete()
9,1,What is a common use of app.use() in Express.js?,For defining routes,For setting up middleware,For starting the server,For handling errors,For setting up middleware
9,1,What method is used to render a view in Express.js?,res.render(),res.send(),res.display(),res.view(),res.render()
9,1,Which of the following is NOT a built-in middleware in Express.js?,express.json(),express.urlencoded(),express.static(),express.db(),express.db()
9,1,How do you parse URL-encoded data in Express.js?,app.use(express.urlencoded()),app.get(express.urlencoded()),app.use(express.urlData()),app.send(express.urlData()),app.use(express.urlencoded())
9,1,Which of the following is true about middleware in Express.js?,It handles only POST requests,It must be used before defining routes,It can modify the request and response objects,It is optional,It can modify the request and response objects
9,1,Which module is required to use Express.js in a Node.js file?,require('express'),require('http'),require('fs'),require('path'),require('express')
9,1,Which of the following best describes Express.js?,A templating engine,A middleware framework,A routing engine,An event-driven framework,A middleware framework
9,1,What is the use of req.params in Express.js?,To handle POST data,To access route parameters,To render views,To listen to requests,To access route parameters
9,1,How do you create a POST route in Express.js?,app.post('/route', callback),app.post(callback),app.get('/route', callback),app.use('/route', callback),app.post('/route', callback)
9,1,How can you pass variables to a view in Express.js?,res.send({}),res.locals.variable,req.send.variable,res.render('view', { variable: value }),res.render('view', { variable: value })
9,1,How do you use a custom middleware function in Express.js?,app.custom(),app.use(),app.get(),app.send(),app.use()
9,1,Which method is used to handle PUT requests in Express.js?,app.get(),app.post(),app.put(),app.listen(),app.put()
9,1,How do you stop a server in Express.js?,app.stop(),app.close(),server.close(),app.end(),server.close()
9,1,How do you access query parameters in Express.js?,req.params.query,req.body,req.query,req.send.query,req.query
9,1,Which method is used to serve a file in Express.js?,res.sendFile(),res.serve(),res.staticFile(),res.file(),res.sendFile()
9,1,How do you handle 404 errors in Express.js?,Using res.end(),Using a 404 middleware,Using app.get(),Using express.json(),Using a 404 middleware
9,1,What is the purpose of next() in Express.js middleware?,To end the request,To pass control to the next middleware,To stop the server,To render the view,To pass control to the next middleware
9,1,Which object in Express.js contains information about the client’s request?,res,app,request,req,req
9,1,What is the role of res.status() in Express.js?,To send the request,To set the HTTP status code of the response,To redirect the request,To terminate the request,To set the HTTP status code of the response
9,1,Which command uninstalls Express.js from a project?,npm remove express,npm delete express,npm uninstall express,npm erase express,npm uninstall express
9,1,What does req.body contain in Express.js?,Response data,URL parameters,JSON or form data from the client,Middleware functions,JSON or form data from the client
9,1,How do you use a middleware function only for specific routes?,app.use(callback),app.route('/path', callback),app.get(callback),app.use('/path', callback),app.use('/path', callback)
9,1,How do you send a JSON response in Express.js?,res.send(json),res.json(),res.sendData(),res.send(),res.json()
