tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
7,1,What does MERN stand for?,MongoDB,Express,React,Node,MongoDB,Express,React,Node
7,1,Which database is used in the MERN stack?,MongoDB,MySQL,PostgreSQL,Firebase,MongoDB
7,1,Which is the frontend framework in MERN?,React,Angular,Vue,Svelte,React
7,1,Which HTTP method is used to retrieve data?,GET,POST,PUT,DELETE,GET
7,1,What command initializes a new Node.js project?,npm init,yarn start,node run,npm install,npm init
7,1,What is the correct syntax to install Express in Node.js?,npm install express,yarn install react,npm express install,express init,npm install express
7,1,Which of the following is used for handling HTTP requests in Express?,app.get(),res.send(),app.route(),req.body(),app.get()
7,1,What is JSX in React?,JavaScript XML,JavaScript Extension,JavaScript Xtra,JavaScript Express,JavaScript XML
7,1,What is used to define components in React?,class,function,module,constructor,function
7,1,Which of the following is used to define a state in a React functional component?,useState(),setState(),setContext(),useContext(),useState()
7,1,What command is used to start a MongoDB server?,mongod,mongo,start-db,start-mongodb,mongod
7,1,Which command creates a new React app?,npx create-react-app myApp,npm install react-create-app,npx react-init,npm start myApp,npx create-react-app myApp
7,1,What is the correct way to import a component in React?,import Component from './Component',require Component from './Component',load Component from './Component',fetch Component from './Component',import Component from './Component'
7,1,Which is a valid MongoDB data type?,String,DateTime,Integer,File,String
7,1,Which of the following is used to connect to a MongoDB database in Node.js?,mongoose,mysql,sequelize,typeORM,mongoose
7,1,What is the default port number for a MongoDB server?,27017,8080,3000,5432,27017
7,1,In Node.js, which of the following is a core module?,fs,express,mongoose,axios,fs
7,1,Which of the following helps in developing RESTful APIs in Express?,Router,View,Model,Schema,Router
7,1,Which hook is used for side-effects in React functional components?,useEffect(),useReducer(),useState(),useCallback(),useEffect()
7,1,What is the purpose of Node.js?,Server-side JavaScript runtime,Client-side JavaScript runtime,Database management tool,Operating system,Server-side JavaScript runtime
7,1,Which of the following is not a valid HTTP status code?,600,200,404,500,600
7,1,What does CRUD stand for?,Create Read Update Delete,Connect React Update Develop,Create Retrieve Upload Deploy,Configure Read Undo Download,Create Read Update Delete
7,1,In React, how do you pass data from parent to child component?,props,state,context,reducer,props
7,1,Which command is used to install all dependencies in Node.js?,npm install,npm start,npm run dev,yarn add,npm install
7,1,What method is used to update a document in MongoDB?,updateOne(),updateDocument(),editOne(),modifyOne(),updateOne()
7,1,In Node.js, which package is used to work with file paths?,path,express,fs,axios,path
7,1,Which lifecycle method is called after the first render in a React class component?,componentDidMount(),componentWillMount(),render(),componentWillUnmount(),componentDidMount()
7,1,Which command lists all the databases in MongoDB?,show dbs,list databases,show databases,db.show(),show dbs
7,1,What is the main purpose of Express.js?,To build web applications,To query databases,To manage system files,To create machine learning models,To build web applications
7,1,Which React hook is used for managing state?,useState(),useEffect(),useReducer(),useContext(),useState()
7,1,Which of the following is not a MongoDB query operator?,$pop,$match,$project,$replaceRoot,$pop
