tech_id,level_id,question_text,option_a,option_b,option_c,option_d,correct_option
9,2,What is the purpose of middleware in Express.js?,To handle requests before they reach the route handlers,To manage database connections,To serve static files,To define routes,To handle requests before they reach the route handlers
9,2,Which method is used to create a new Express application?,express.create(),new express(),const app = express(),app = express(),const app = express()
9,2,How do you define a route that responds to POST requests in Express.js?,app.post('/route', handler),app.get('/route', handler),app.all('/route', handler),app.route('/route', handler),app.post('/route', handler)
9,2,What is the default behavior of the res.json() method?,Sends a JSON response,Ends the response,Logs the response,Sets the status code,Sends a JSON response
9,2,How do you send a file as a response in Express.js?,res.sendFile(),res.file(),res.send(),res.download(),res.sendFile()
9,2,What does the express.Router() method do?,Creates modular route handlers,Defines middleware,Handles errors,Creates middleware,Creates modular route handlers
9,2,How can you handle errors globally in Express.js?,Using app.use(),Using app.error(),Using app.catch(),Using app.handle(),Using app.use()
9,2,What is the purpose of the res.redirect() method?,To redirect the client to another URL,To send a response with a status code,To render a view,To serve static files,To redirect the client to another URL
9,2,How do you parse URL-encoded data in Express.js?,app.use(express.urlencoded()),app.use(express.json()),app.use(express.bodyParser()),app.use(express.query()),app.use(express.urlencoded())
9,2,What is the purpose of the next() function in Express middleware?,To pass control to the next middleware function,To end the request-response cycle,To log the request,To handle errors,To pass control to the next middleware function
9,2,Which method would you use to define a route that serves static files?,app.static(),app.use(),app.get(),app.serveStatic(),app.use()
9,2,How do you set response headers in Express.js?,res.setHeader(),res.headers(),res.sendHeaders(),res.header(),res.setHeader()
9,2,What does the req.body object contain in Express.js?,The parsed request body,The request headers,The URL parameters,The query string,The parsed request body
9,2,How do you enable CORS in an Express application?,Using cors middleware,Using app.use(),Using res.set(),Using next(),Using cors middleware
9,2,How can you create a custom error-handling middleware in Express.js?,app.use((err, req, res, next) => {...}),app.errorHandler((err, req, res) => {...}),app.catch((err) => {...}),app.useError((err) => {...}),app.use((err, req, res, next) => {...})
9,2,What is the purpose of app.listen()?,To start the server and listen for incoming requests,To define middleware,To set routes,To serve static files,To start the server and listen for incoming requests
9,2,How do you access route parameters in Express.js?,req.params,req.body,req.query,req.headers,req.params
9,2,What is the default port for an Express application?,3000,8000,5000,4000,3000
9,2,How do you set a custom status code in the response?,res.status(code),res.setStatus(code),res.sendStatus(code),res.send(code),res.status(code)
9,2,What is the purpose of express.static() middleware?,To serve static files,To log requests,To handle errors,To parse request bodies,To serve static files
9,2,How can you define a route that matches all HTTP methods?,app.all('/route', handler),app.route('/route', handler),app.get('/route', handler),app.use('/route', handler),app.all('/route', handler)
9,2,What does the req.originalUrl property return?,The original request URL,The current URL,The query string,The request headers,The original request URL
9,2,How do you implement rate limiting in Express.js?,Using express-rate-limit middleware,Using app.use(),Using res.limit(),Using next(),Using express-rate-limit middleware
9,2,What is the function of the app.use() method?,To mount middleware or routes,To send responses,To log requests,To handle errors,To mount middleware or routes
9,2,What does the res.sendStatus() method do?,Sets the response status and sends a status code,Logs the status,Ends the response,Returns a message,Sets the response status and sends a status code
9,2,How do you define a route with a wildcard in Express.js?,app.get('/route/*', handler),app.get('/route/:param', handler),app.get('/route?param=value', handler),app.route('/route/:param', handler),app.get('/route/*', handler)
9,2,How do you serve a JSON response with a status code in Express.js?,res.status(code).json({}),res.json(code, {}),res.send(code, {}),res.sendStatus(code).json({}),res.status(code).json({})
9,2,What is the purpose of the req.method property?,To get the HTTP method of the request,To get the request URL,To get the request headers,To get the query parameters,To get the HTTP method of the request
9,2,How do you access query string parameters in Express.js?,req.query,req.body,req.params,req.headers,req.query
9,2,What does the res.sendFile() method do?,Sends a file as a response,Returns the file path,Logs the file,Sets the response type,Sends a file as a response
9,2,What is the correct way to create a GET route that includes a dynamic parameter?,app.get('/route/:param', handler),app.get('/route?param=value', handler),app.route('/route/:param', handler),app.get('/route/(param)', handler),app.get('/route/:param', handler)
9,2,How do you define a route that handles both GET and POST requests?,app.all('/route', handler),app.route('/route', handler),app.get('/route', handler),app.post('/route', handler),app.all('/route', handler)
9,2,What is the purpose of the express.json() middleware?,To parse JSON request bodies,To serve static files,To log requests,To set response headers,To parse JSON request bodies
9,2,How do you enable logging in an Express application?,app.use(morgan('dev')),app.enableLogging(),app.useLogging(),app.log('dev'),app.use(morgan('dev'))
9,2,What does req.headers contain in Express.js?,The request headers,The response headers,The route parameters,The query string,The request headers
9,2,How do you access the request's HTTP method in Express.js?,req.method,req.getMethod(),req.methodType(),req.methodName(),req.method
9,2,What is the purpose of the req.cookies object?,To access cookies sent with the request,To access query parameters,To access route parameters,To access headers,To access cookies sent with the request
9,2,How do you create a middleware that runs for specific routes?,app.use('/route', middleware),app.all('/route', middleware),app.route('/route', middleware),app.method('/route', middleware),app.use('/route', middleware)
9,2,What is the function of the app.set() method?,To set application-level settings,To define routes,To handle errors,To log requests,To set application-level settings
9,2,How do you handle 404 errors in Express.js?,Using app.use((req, res) => {...}),Using app.errorHandler(),Using app.notFound(),Using app.useError(),Using app.use((req, res) => {...})
9,2,What is the purpose of the res.jsonp() method?,To send a JSONP response,To send a JSON response,To set response headers,To log responses,To send a JSONP response
9,2,How do you access the request parameters in Express.js?,req.params,req.query,req.body,req.headers,req.params
9,2,What does app.use(express.json()) do in an Express application?,Parses JSON request bodies,Logs requests,Serves static files,Handles errors,Parses JSON request bodies
